title,body,labels,assignees,state
EPIC: Physics Stabilization PS1.x — Numerical & Engine Stabilization,"Epic tracking all PS1.x work: softened gravity, integrator abstraction, kernel and run_sim refactors, and viewer-side stability tooling (auto-camera) that prepared the engine for later topology-aware physics.","epic,PS,Done",,open
EPIC: Physics Stabilization PS2.x — Topology-Aware Physics & Spatial Systems,"Epic covering PS2.1–PS2.4: topology-aware distance engine, neighbor engine, spatial partitioning, torus and sphere validation fixes, topology parameter preservation, and full cross-topology compatibility.","epic,PS,Done",,open
Repo initialization and Git setup,"Initialize the CosmoFrame repository with Python layout, Git, .gitignore, and outputs directory.","Bootstrap,Architecture,Done",,open
Initial package layout,"Create core engine modules (kernel, physics_utils, scenarios, exporters, viewer).","Bootstrap,Architecture,Engine,Done",,open
Early entity and state models,"Define UniverseState and UniverseConfig with positions, velocities, masses, active flags.","Bootstrap,Engine,Done",,open
Prototype simulation loop v0,"First raw loop computing forces & stepping positions; used for smoke tests.","Bootstrap,Engine,Done",,open
Prototype force computation,"Add naive Newtonian gravity using Euclidean distances.","Engine,Legacy,Done",,open
Prototype integrator pre-Verlet,"Implement simple Euler-style stepping before integrator abstraction.","Engine,Legacy,Done",,open
Initial CLI parser,"Add run_sim.py argparse support for scenario, steps, and basic options.","Bootstrap,Architecture,Done",,open
Scenario loader v0,"Create registry mapping scenario names to functions.","Bootstrap,Scenarios,Done",,open
Matplotlib visualization v0,"Render scatterplots of positions for early debugging.","Visualization,Engine,Done",,open
Image exporter v0,"Write PNG frames during runs.","Visualization,Engine,Done",,open
Early JSON exporter v0,"Dump simple arrays to JSON for debugging.","Visualization,Legacy,Done",,open
Transition to JAX backend,"Refactor numerical code to JAX arrays for future jit & vectorization.","Architecture,Engine,Done",,open
JAX RNG & initialization utils,"Add random key handling and randomized initial state helpers.","Engine,Scenarios,Done",,open
Early debug logs,"Add printouts of config values and step counts.","Bootstrap,Legacy,Done",,open
Initial README roadmap,"Document early goals and development direction.","Bootstrap,Legacy,Done",,open
Legacy run_sim scripts,"Initial standalone runner scripts before CLI consolidation.","Legacy,Done",,open
Kernel step abstraction,"Create kernel.step() to unify integration and force computation.","Engine,Architecture,Done",,open
Velocity Verlet v1,"Introduce Verlet integrator improving energy behavior.","Engine,Done",,open
Force pipeline refactor,"Separate force computation from kernel to prep for topology support.","Engine,Done",,open
Energy utilities,"Add KE/PE computations for diagnostics.","Engine,Diagnostics,Done",,open
Stability investigations,"Run orbit tests to measure drift and inform stabilization roadmap.","Engine,Diagnostics,Done",,open
Random N-body scenario,"Fully functional random initialization scenario.","Scenarios,Engine,Done",,open
Two-body orbit scenario,"Analytic two-body system for validation.","Scenarios,Engine,Done",,open
Three-body basic scenario,"Chaotic 3-body scenario for stress-testing integrator and physics.","Scenarios,Engine,Done",,open
Scenario registry improvements,"Auto-discovery of scenarios and support for short names.","Scenarios,Architecture,Done",,open
CLI consolidation to cosmosim.py,"Create unified CLI with scenario selection, viewer modes, export flags.","Architecture,E,Done",,open
Viewer routing via --view,"Implement auto/debug/web/none routing modes.","Architecture,E,Visualization,Done",,open
Scenario listing via CLI,"Add cosmosim.py --list to enumerate discovered scenarios.","Architecture,Scenarios,Done",,open
Legacy scripts deprecated,"run_sim.py and jit_run_sim kept but marked deprecated.","Architecture,Legacy,Done",,open
JSON exporter v1,"Export per-frame JSON in viewer-friendly format.","E,Visualization,Done",,open
Single-file JSON exporter,"Add export_simulation_single for web viewer.","E,Visualization,Done",,open
Frame dict utilities,"Convert JAX arrays to Python-native lists for JSON.","E,Visualization,Done",,open
CLI test suite updates,"Consolidate tests around cosmosim.py rather than legacy runners.","E,Diagnostics,Done",,open
PSS0.x: CLI param parsing,"Add parse_param_string supporting key=value parsing.","PSS,Done",,open
PSS1.0: schema format,"Define SCENARIO_PARAMS with type, default, bounds, description.","PSS,Done",,open
PSS1.1: loading & merging,"Load schema, merge CLI overrides, apply type conversion and bounds.","PSS,Done",,open
PSS integration with cosmosim,"Pass merged_params into scenario builders.","PSS,Architecture,Done",,open
PSS validation layer (1.2),"Add warnings for invalid types, unknown params, missing required.","PSS,Diagnostics,Done",,open
Schema validation utilities,"Ensure scenario schemas are well-formed.","PSS,Diagnostics,Done",,open
PSS test suite expansion,"Add tests for parsing, merging, validation, integration.","PSS,Diagnostics,Done",,open
