title,body,labels,assignees
EPIC: Physics Stabilization PS1.x — Numerical & Engine Stabilization,"Epic tracking all PS1.x work: softened gravity, integrator abstraction, kernel and run_sim refactors, and viewer-side stability tooling (auto-camera) that prepared the engine for later topology-aware physics.",PS,Done,steve
EPIC: Physics Stabilization PS2.x — Topology-Aware Physics & Spatial Systems,"Epic covering PS2.1–PS2.4: topology-aware distance engine, neighbor engine, spatial partitioning, torus and sphere validation fixes, topology parameter preservation, and final cross-topology stability verification.",PS,Done,steve
Repo initialization and Git setup,"Initialize the CosmoFrame / CosmoSim repository with a basic Python project layout, Git configuration, .gitignore for caches and outputs, and an outputs directory structure suitable for simulator artifacts.",Bootstrap,Architecture,Legacy,Done,steve
Initial Python package and module layout,"Create the core package structure for the engine (kernel, physics utilities, environment, scenarios, exporters, viewer stubs) to support incremental simulation and visualization development.",Bootstrap,Architecture,Engine,Done,steve
Early state and entity model definitions,"Define the initial UniverseConfig and UniverseState style structures including positions, velocities, masses, activity flags, and global parameters needed to run a minimal N-body simulation.",Bootstrap,Engine,Done,steve
Prototype simulation loop v0,"Implement a first-pass simulation loop that repeatedly computes forces, advances positions and velocities, and records basic outputs, sufficient for initial smoke tests and debugging.",Bootstrap,Engine,Done,steve
Prototype gravity and force computation routines,"Add early Newtonian gravity routines with direct Euclidean distances and naive pairwise loops to drive random N-body behavior before later refactors and softening.",Engine,Legacy,Done,steve
Prototype integrators before Leapfrog,"Experiment with simple Euler and semi-implicit update formulas to step positions and velocities, providing a baseline for later integrator abstraction work.",Engine,Legacy,Done,steve
CLI argument parser v0 for run_sim,"Introduce an initial argparse-based CLI around run_sim style entrypoints to select scenarios, step counts, and basic configuration values from the command line.",Bootstrap,Architecture,Done,steve
Scenario loader v0 and registry stub,"Implement a basic mapping from scenario names to builder functions, enabling selection of random N-body and simple test scenarios while keeping room for future discovery-based loading.",Bootstrap,Scenarios,Engine,Done,steve
Matplotlib static visualization v0,"Create simple matplotlib-based plotting functions that render particle positions into PNG images for single frames or short runs, enabling basic visual inspection of dynamics.",Visualization,Engine,Done,steve
Image exporter v0,"Wire the early simulation loop to write out PNG plots for each run, organizing them into an outputs directory and establishing the initial artifact pipeline.",Visualization,Engine,Done,steve
Early JSON or text data exporter,"Implement a minimal JSON or text exporter that dumps position and velocity arrays to disk to aid debugging and offline analysis before the more structured frame exporters were added.",Visualization,Engine,Legacy,Done,steve
Transition to JAX math backend,"Refactor core numerical routines to use JAX arrays and operations, enabling jit-compatible stepping and establishing the long-term performance model for the simulator.",Engine,Architecture,Done,steve
