title,body,labels,assignees,milestone,state,state_reason
[EPIC] Bootstrap & Repository Setup,"Epic: initialize the CosmoFrame (CosmoSim) repository, set up Python tooling, basic layout, and early experiments leading into PS1.x.","epic,Bootstrap,Architecture,Done",,"Pre-PS1.1 Development","closed","completed"
[EPIC] Engine Architecture Foundations,"Epic: establish a reusable kernel, integrator structure, force pipeline, and configuration system that all scenarios and physics phases build on.","epic,Engine,Architecture,Done",,"Engine Foundations","closed","completed"
[EPIC] Core Simulation Scenarios,"Epic: create and refine core scenarios (random N-body, two-body orbit, three-body chaotic) used across diagnostics, visualization, and physics stabilization.","epic,Scenarios,Engine,Done",,"Engine Foundations","closed","completed"
[EPIC] Visualization System (Matplotlib + Web),"Epic: build the initial visualization stack, from static PNGs to JSON exports and the first web viewer stub.","epic,Visualization,E,Done",,"Pre-PS1.1 Development","closed","completed"
[EPIC] Interactive Python Viewer E1.x,"Epic: develop the interactive Python viewer with overlays, diagnostics, parameter panel, and live controls for debugging simulations.","epic,E,Visualization,In Progress",,"E1.x Interactive Viewer","open",""
[EPIC] Web Viewer & Three.js Enhancements E2.x,"Epic: extend the web viewer with richer controls, overlays, and auto-camera behavior for interactive exploration of JSON-exported simulations.","epic,E,Visualization,In Progress",,"E2.x Web Viewer","open",""
[EPIC] Topology System Foundations,"Epic: implement topology-aware displacement and distance functions, covering flat, torus, sphere, and bubble topologies.","epic,Topology,Engine,Done",,"Topology System","closed","completed"
[EPIC] Topology Overlay System,"Epic: implement grid and bounds overlays and integrate them with exports so visualizations reflect simulation domains and topology context.","epic,Topology,Visualization,E,Done",,"Overlay System","closed","completed"
[EPIC] PSS1.x — Parameterized Scenario System,"Epic: introduce the Parameterized Scenario System (PSS) with schemas, parsing, merging, and validation to control scenarios declaratively.","epic,PSS,Architecture,Done",,"PSS1.x Parameter System","closed","completed"
[EPIC] PSS2.x — Advanced PSS Tooling,"Epic: extend PSS with deeper validation, better error reporting, and tighter integration with CLI and viewers.","epic,PSS,In Progress",,"PSS2.x Enhancements","open",""
[EPIC] Physics Stabilization PS1.x,"Epic: PS1.x physics stabilization, including softened gravity, integrator abstraction, and improved camera behavior for stable viewing.","epic,PS,Engine,Done",,"PS1.x Physics Stabilization","closed","completed"
