title,body,labels,assignees,milestone,state,state_reason
[E1.x] Add live heatmap overlays,"Implement dynamic viewer-side heatmap layers for density, velocity magnitude, or potential visualization.","E1.x,Visualization,Backlog,milestone:E1.x",,"","open",""
[E1.x] Add warped-grid visualizer,"Add warped grid overlays representing field distortions or topology-dependent coordinate transformations.","E1.x,Visualization,Backlog,milestone:E1.x",,"","open",""
[E1.x] Add entity trails with fade parameters,"Render fading motion trails with configurable length and decay for tracking body motion.","E1.x,Visualization,Backlog,milestone:E1.x",,"","open",""
[E1.x] Add camera bookmarks and presets,"Allow saving camera positions and switching between preset angles for analysis.","E1.x,Visualization,Backlog,milestone:E1.x",,"","open",""
[E1.x] Add topology-aware camera constraints,"Align camera movement and orientation with the selected topology’s geometry.","E1.x,Visualization,Backlog,milestone:E1.x",,"","open",""
[E1.x] Refactor viewer for multi-canvas support,"Enable rendering multiple synchronized views (zoomed-in, global, topological) simultaneously.","E1.x,Visualization,Backlog,milestone:E1.x",,"","open",""
[E1.x] Multi-camera support (near-term),"Implement multiple virtual cameras (primary, tracking, orbital) with UI toggles.","E1.x,Visualization,Ready,milestone:E1.x",,"","open",""

[E2.x] Implement interactive 3D topology rendering,"Add Three.js rendering pipeline for sphere, torus, bubble, and custom topologies.","E2.x,Visualization,Backlog,milestone:E2.x",,"","open",""
[E2.x] Add overlay UI controls,"Expose toggles for gridlines, bounds, heatmaps, topology overlays directly in the UI.","E2.x,Visualization,Backlog,milestone:E2.x",,"","open",""
[E2.x] Add WebSocket-based live simulation streaming,"Stream live simulation frames from Python to browser for real-time visualization.","E2.x,Visualization,Backlog,milestone:E2.x",,"","open",""
[E2.x] Add scenario editor UI,"Create form-driven scenario builder UI that autogenerates cosmosim CLI commands.","E2.x,Visualization,Backlog,milestone:E2.x",,"","open",""
[E2.x] Add playback timeline scrubber,"Implement a timeline bar for scrubbing through exported or live frames.","E2.x,Visualization,Backlog,milestone:E2.x",,"","open",""
[E2.x] Add camera orbit and look-at controls,"Enable intuitive orbit-style camera navigation with mouse and touch interactions.","E2.x,Visualization,Backlog,milestone:E2.x",,"","open",""
[E2.x] 3D grid & domain overlays (near-term),"Port grid/bounds overlays into the Three.js viewer for topology-aware context.","E2.x,Visualization,Ready,milestone:E2.x",,"","open",""

[PSS2.x] Add type inference for scenario parameters,"Infer parameter types from usage and schema to reduce manual typing.","PSS2.x,PSS,Backlog,milestone:PSS2.x",,"","open",""
[PSS2.x] Automatic CLI→UI parameter mapping,"Autogenerate client-side parameter forms based on PSS schema.","PSS2.x,PSS,Backlog,milestone:PSS2.x",,"","open",""
[PSS2.x] Add parameter-level validation hooks,"Allow per-parameter validation callbacks (e.g., radius > 0).","PSS2.x,PSS,Backlog,milestone:PSS2.x",,"","open",""
[PSS2.x] Add PSS error code system,"Introduce structured error codes for parameter validation and merging failures.","PSS2.x,PSS,Backlog,milestone:PSS2.x",,"","open",""
[PSS2.x] Schema documentation generator,"Generate human-readable docs from PSS schema metadata.","PSS2.x,PSS,Backlog,milestone:PSS2.x",,"","open",""
[PSS2.x] Parameter dependency rules (near-term),"Enforce conditional parameter logic such as N>1 when radius is used.","PSS2.x,PSS,Ready,milestone:PSS2.x",,"","open",""

[PS2.x] Implement adaptive timestep mechanism,"Add timestep adaptivity using stiffness-aware heuristics or error estimation.","PS2.x,PS,Backlog,milestone:PS2.x",,"","open",""
[PS2.x] Add Verlet + constraint coupling,"Couple position and velocity constraints for stability on curved surfaces.","PS2.x,PS,Backlog,milestone:PS2.x",,"","open",""
[PS2.x] Add jitter and drift diagnostics,"Add per-step drift tracking for kinetic, potential, angular momentum, and COM.","PS2.x,PS,Backlog,milestone:PS2.x",,"","open",""
[PS2.x] Add extended force models (drag, damping, springs),"Support non-gravitational force models via plugin architecture.","PS2.x,PS,Backlog,milestone:PS2.x",,"","open",""
[PS2.x] Modularize force model pipeline (near-term),"Refactor compute_forces to load multiple force models cleanly.","PS2.x,PS,Ready,milestone:PS2.x",,"","open",""

[Topology] Möbius topology implementation,"Add Möbius strip topology with correct coordinate wrap and rendering.","Topology,Backlog,milestone:Topology",,"","open",""
[Topology] Klein bottle topology implementation,"Implement Klein bottle wrapping rules and displacement computation.","Topology,Backlog,milestone:Topology",,"","open",""
[Topology] Time-evolving topologies,"Allow topology transitions mid-simulation (e.g., torus → sphere).","Topology,Backlog,milestone:Topology",,"","open",""
[Topology] Topology interpolation engine,"Model continuous transitions between different topology coordinate systems.","Topology,Backlog,milestone:Topology",,"","open",""
[Topology] Unified topology testing harness (near-term),"Build automated test runners for all supported topologies.","Topology,Ready,milestone:Topology",,"","open",""

[Diagnostics] 3D momentum drift visualizer,"Visualize momentum drift as vector trails or normalized arrows.","Diagnostics,Backlog,milestone:Diagnostics",,"","open",""
[Diagnostics] Anomaly detector for simulations,"Detect divergence, jitter spikes, or energy blow-up automatically.","Diagnostics,Backlog,milestone:Diagnostics",,"","open",""
[Diagnostics] Topology-specific validation suite,"Generate validation scenarios automatically per topology type.","Diagnostics,Backlog,milestone:Diagnostics",,"","open",""
[Diagnostics] Performance benchmarking suite,"Benchmark gravity solver, neighbor engine, partition engine, and integrators.","Diagnostics,Backlog,milestone:Diagnostics",,"","open",""
[Diagnostics] Scenario-based regression tests (near-term),"Create automated regression tests for all core scenarios.","Diagnostics,Ready,milestone:Diagnostics",,"","open",""

[Engine] Add Barnes–Hut solver,"Add hierarchical tree approximation to accelerate gravity for large N.","Engine,Backlog,milestone:Engine",,"","open",""
[Engine] Add Octree neighbor engine,"Implement octree-based spatial partitioning for 3D simulations.","Engine,Backlog,milestone:Engine",,"","open",""
[Engine] Add collision detection module,"Add bounding radius and contact resolution logic to the engine.","Engine,Backlog,milestone:Engine",,"","open",""
[Engine] Add rigid-body module,"Support rigid-body dynamics with angular momentum and inertia.","Engine,Backlog,milestone:Engine",,"","open",""
[Engine] Add multi-force plugin framework,"Enable physics models to register forces dynamically.","Engine,Backlog,milestone:Engine",,"","open",""
[Engine] Add sub-stepping integrator (near-term),"Implement integrator sub-stepping for stiff systems or high accelerations.","Engine,Ready,milestone:Engine",,"","open",""

[Viz] Add heatmap shading layer,"Render color-mapped spatial quantities (density, speed, potential).","Visualization,Backlog,milestone:Visualization",,"","open",""
[Viz] Add vector field visualization,"Visualize gradients or directional flows per region.","Visualization,Backlog,milestone:Visualization",,"","open",""
[Viz] Add 4D projection viewer,"Visualize simulated 3D motion with time as a projection dimension.","Visualization,Backlog,milestone:Visualization",,"","open",""
[Viz] Add multi-pane comparison viewer,"Render multiple synchronized scenes (topology comparison, force-model comparison).","Visualization,Backlog,milestone:Visualization",,"","open",""
[Viz] Export presets for demo/high-res (near-term),"Provide presets for viewer and export settings for presentations.","Visualization,Ready,milestone:Visualization",,"","open",""

[Education] Topology Explorer module,"Interactive educational module to explore topologies like torus, sphere, Möbius.","Education,Backlog,milestone:Education",,"","open",""
[Education] Physics Error Explorer module,"Demonstrate integrator error, time step effects, and energy drift.","Education,Backlog,milestone:Education",,"","open",""
[Education] Chaos Explorer module,"Interactive module to illustrate chaos and sensitivity to initial conditions.","Education,Backlog,milestone:Education",,"","open",""
[Education] Substrate/Scalar Field Playground,"Educational module allowing manipulation of scalar field parameters.","Education,Backlog,milestone:Education",,"","open",""
[Education] Intro-To-Topology scenario set (near-term),"Beginner-friendly scenarios illustrating topology effects.","Education,Ready,milestone:Education",,"","open",""
