title,body,labels,assignees,milestone,state,state_reason
[PS3.x] Introduce adaptive-force cutoff for far-field optimization,"Add adaptive cutoff radii for gravity calculations to reduce pairwise computation load.","PS3.x,PS,Backlog,milestone:PS3.x",,"","open",""
[PS3.x] Multi-force engine architecture,"Design a unified engine where gravity, drag, EM forces, noise, and user-defined forces can register at runtime.","PS3.x,PS,Backlog,milestone:PS3.x",,"","open",""
[PS3.x] Add continuous constraint projection for complex surfaces,"Extend constraint projection beyond sphere/torus to arbitrary surfaces and curved manifolds.","PS3.x,PS,Backlog,milestone:PS3.x",,"","open",""
[PS3.x] Add symplectic integrator variants,"Implement third- and fourth-order symplectic integrators (Ruth, Yoshida) for long-term stability.","PS3.x,PS,Backlog,milestone:PS3.x",,"","open",""
[PS3.x] Add rotating reference frame physics,"Simulate dynamics in rotating frames with Coriolis and centrifugal effects.","PS3.x,PS,Backlog,milestone:PS3.x",,"","open",""
[PS3.x] Add relativistic toy-model corrections,"Introduce simplified special-relativistic corrections to force and velocity calculations.","PS3.x,PS,Backlog,milestone:PS3.x",,"","open",""
[PS3.x] Unified force registry,"Create a registration system for custom force models and force composition.","PS3.x,PS,Backlog,milestone:PS3.x",,"","open",""
[PS3.x] Simulation determinism pass,"Guarantee deterministic results under fixed seeds, ordering, and JAX semantics.","PS3.x,PS,Backlog,milestone:PS3.x",,"","open",""

[PS4.x] Scalar field simulation engine,"Add scalar field substrate solver with tunable boundary conditions and coupling to particles.","PS4.x,PS,Backlog,milestone:PS4.x",,"","open",""
[PS4.x] Fluid substrate solver,"Implement simplified Navier–Stokes-like dynamics (2D/3D) for substrate simulations.","PS4.x,PS,Backlog,milestone:PS4.x",,"","open",""
[PS4.x] Particle–field coupling,"Allow particles to modify scalar fields and vice versa, simulating mediated dynamics.","PS4.x,PS,Backlog,milestone:PS4.x",,"","open",""
[PS4.x] Substrate-driven curvature model,"Allow substrate density or field magnitude to modify effective topology curvature.","PS4.x,PS,Backlog,milestone:PS4.x",,"","open",""
[PS4.x] Substrate energy exchange model,"Introduce energy transfer between particles and substrate field.","PS4.x,PS,Backlog,milestone:PS4.x",,"","open",""
[PS4.x] GPU acceleration for scalar fields,"Accelerate field evolution using JAX-CUDA or custom GPU kernels.","PS4.x,PS,Backlog,milestone:PS4.x",,"","open",""

[Engine3.x] GPU-accelerated solver pass,"Implement full GPU pipeline for force computation and integration using JAX/Numba/CUDA.","Engine3.x,Engine,Backlog,milestone:Engine3.x",,"","open",""
[Engine3.x] KD-tree neighbor search,"Implement KD-tree data structures for high-dimensional neighbor queries.","Engine3.x,Engine,Backlog,milestone:Engine3.x",,"","open",""
[Engine3.x] Barnes–Hut treecode,"Add O(N log N) approximation method for large-N gravitational simulations.","Engine3.x,Engine,Backlog,milestone:Engine3.x",,"","open",""
